This is the complete list of games supported by MAME 0.74 (Sep 14 2003).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Fantasy '95                      |  Yes  |  Yes  |  Yes  |   No  | fantsy95 |
| Fantasy Land                     |  Yes  |  Yes  |  Yes  |  Yes  | fantland |
| Fantasy Zone                     |  Yes  |  Yes  |  Yes  |  Yes  | fantzone |
| Far East of Eden - Kabuki Klash /|  Yes  |  Yes  |  Yes  |  Yes  | kabukikl |
| Fast Lane                        |  Yes  | Close |  Yes  |  Yes  | fastlane |
| Faster, Harder, More Challenging |  Yes  |  Yes  | Yes(2)|  Yes  | sqbert   |
| Fatal Fury - King of Fighters / G|  Yes  |  Yes  |  Yes  |  Yes  | fatfury1 |
| Fatal Fury 2 / Garou Densetsu 2 -|  Yes  |  Yes  |  Yes  |  Yes  | fatfury2 |
| Fatal Fury 3 - Road to the Final |  Yes  |  Yes  |  Yes  |  Yes  | fatfury3 |
| Fatal Fury Special / Garou Denset|  Yes  |  Yes  |  Yes  |  Yes  | fatfursp |
| Fax                              |  Yes  |  Yes  |  Yes  |  Yes  | fax      |
| Field Day                        |  Yes  |  Yes  |  Yes  |  Yes  | fieldday |
| Fight Fever / Crystal Legacy     |  Yes  |  Yes  |  Yes  |  Yes  | fightfev |
| Fighter & Attacker               |  Yes  |  Yes  |Partial|  Yes  | fghtatck |
| Fighting Golf                    |  Yes  |  Yes  |  Yes  |   No  | fitegolf |
| Fighting Hawk                    |  Yes  |  Yes  |  Yes  |  Yes  | fhawk    |
| Fighting Roller                  |  Yes  | Close |Partial|  Yes  | fightrol |
| Fighting Soccer                  |  Yes  |  Yes  |  Yes  |   No  | ftsoccer |
| Final Blow                       |  Yes  |  Yes  |  Yes  |  Yes  | finalb   |
| Final Fight                      |  Yes  |  Yes  |  Yes  |  Yes  | ffight   |
| Final Lap                        |  Yes  |  Yes  |  Yes  |  Yes  | finallap |
| Final Lap 2                      |   No  |  Yes  |  Yes  |  Yes  | finalap2 |
| Final Lap 3                      |   No  |  Yes  |  Yes  |  Yes  | finalap3 |
| Final Round, The                 |  Yes  |  Yes  |  Yes  |  Yes  | fround   |
| Final Star Force                 |  Yes  |  Yes  |  Yes  |   No  | fstarfrc |
| Finalizer - Super Transformation |  Yes  |  Yes  |Partial|   No  | finalizr |
| Find Out                         |  Yes  |   No  |Partial|  Yes  | findout  |
| Finest Hour                      |  Yes  |  Yes  |  Yes  |  Yes  | finehour |
| Fire Barrel                      |  Yes  |  Yes  |   No  |  Yes  | firebarr |
| Fire Battle                      |  Yes  |  Yes  |  Yes  |  Yes  | firebatl |
| Fire One                         |  Yes  |  Yes  |   No  |  Yes  | fireone  |
| Fire Shark                       |  Yes  |  Yes  |   No  |  Yes  | fireshrk |
| Fire Trap                        |  Yes  |  Yes  |  Yes  |  Yes  | firetrap |
| Fire Truck                       |  Yes  |  Yes  |  Yes  |  Yes  | firetrk  |
| Fit of Fighting                  |  Yes  |  Yes  |   No  |  Yes  | fitfight |
| Flash Point                      | No(1) |  Yes  |  Yes  |  Yes  | fpoint   |
| Flashgal                         |  Yes  |  Yes  |  Yes  |  Yes  | flashgal |
| Flicky                           |  Yes  |  Yes  |  Yes  |  Yes  | flicky   |
| Flower                           |  Yes  |   No  |Partial|   No  | flower   |
| Fly-Boy                          | No(1) |  Yes  |  Yes  |  Yes  | flyboy   |
| Flyball                          |  Yes  |  Yes  |   No  |  Yes  | flyball  |
| Flying Shark                     |  Yes  |  Yes  |  Yes  |  Yes  | fshark   |
| Food Fight                       |  Yes  |  Yes  |  Yes  |  Yes  | foodf    |
| Football Champ                   |  Yes  |  Yes  |  Yes  |  Yes  | footchmp |
| Football Frenzy                  |  Yes  |  Yes  |  Yes  |  Yes  | fbfrenzy |
| Forgotten Worlds                 |  Yes  |  Yes  |  Yes  |  Yes  | forgottn |
| Formation Z                      |  Yes  |  Yes  |  Yes  |  Yes  | formatz  |
| Forty-Love                       |  Yes  |  Yes  |  Yes  |  Yes  | 40love   |
| Four Trax                        |  Yes  |  Yes  |  Yes  |  Yes  | fourtrax |
| Free Kick                        | No(1) |  Yes  |  Yes  |  Yes  | freekick |
| Freeze                           |  Yes  |  Yes  |  Yes  |  Yes  | freeze   |
| Frenzy                           |  Yes  |  Yes  | Yes(2)|  Yes  | frenzy   |
| Frisky Tom                       |  Yes  |  Yes  |  Yes  |   No  | friskyt  |
| Frogger                          |  Yes  |  Yes  |  Yes  |  Yes  | frogger  |
| Frogs                            |  Yes  |  Yes  |   No  |  Yes  | frogs    |
| Front Line                       |  Yes  |  Yes  |  Yes  |  Yes  | frontlin |
| Funky Bee                        |  Yes  |  Yes  |  Yes  |  Yes  | funkybee |
| Funky Fish                       |  Yes  |  Yes  |  Yes  |  Yes  | fnkyfish |
| Funky Jet                        |  Yes  |  Yes  |  Yes  |  Yes  | funkyjet |
| Funny Mouse                      |  Yes  |  Yes  |  Yes  |  Yes  | funnymou |
| Future Spy                       |  Yes  |  Yes  | Yes(2)|  Yes  | futspy   |
| GI Joe                           |  Yes  |  Yes  |  Yes  |  Yes  | gijoe    |
| Gaia Crusaders                   |  Yes  |  Yes  |Partial|  Yes  | gaia     |
| Gaiapolis                        |  Yes  |  Yes  |  Yes  |  Yes  | gaiapols |
| Galactic Warriors                |  Yes  |  Yes  |  Yes  |  Yes  | gwarrior |
| Galaga                           |  Yes  |  Yes  | Yes(2)|  Yes  | galaga   |
| Galaga '88                       |  Yes  |  Yes  |  Yes  |  Yes  | galaga88 |
| Galaxian                         |  Yes  |  Yes  |  Yes  |  Yes  | galaxian |
| Galaxy Fight - Universal Warriors|  Yes  |  Yes  |  Yes  |  Yes  | galaxyfg |
| Galaxy Gunners                   |  Yes  |  Yes  |  Yes  |  Yes  | galaxygn |
| Galaxy Wars                      |  Yes  |  Yes  | Yes(2)|  Yes  | galxwars |
| Galivan - Cosmo Police           |  Yes  |  Yes  |  Yes  |  Yes  | galivan  |
| Galmedes                         |  Yes  |  Yes  |  Yes  |  Yes  | galmedes |
| Gals Panic                       |  Yes  |  Yes  |  Yes  |   No  | galpanic |
| Gals Panic 4                     |  Yes  |  Yes  |  Yes  |  Yes  | galpani4 |
| Gals Panic S - Extra Edition     |  Yes  |  Yes  |  Yes  |  Yes  | galpanis |
| Gals Panic S2                    |  Yes  |  Yes  |  Yes  |  Yes  | galpans2 |
| Gals Pinball                     |  Yes  |  Yes  |  Yes  |   No  | galspnbl |
| Game Paradise - Master of Shootin|  Yes  |  Yes  |   No  |  Yes  | gametngk |
| Games V18.7C                     |  Yes  |  Yes  |  Yes  |  Yes  | usg185   |
| Games V25.4X                     |  Yes  |  Yes  |  Yes  |  Yes  | usg252   |
| Ganbare Ginkun                   |  Yes  |  Yes  |  Yes  |   No  | ginkun   |
| Gang Busters                     |  Yes  |  Yes  |  Yes  |  Yes  | gbusters |
| Gang Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | gangwars |
| Gaplus                           |  Yes  |  Yes  | Yes(2)|  Yes  | gaplus   |
| Garou - Mark of the Wolves       |  Yes  |  Yes  |  Yes  |  Yes  | garou    |
| Garyo Retsuden                   |  Yes  |  Yes  |  Yes  |  Yes  | garyoret |
| Gauntlet                         |  Yes  |  Yes  |  Yes  |  Yes  | gauntlet |
| Gauntlet II                      |  Yes  |  Yes  |  Yes  |  Yes  | gaunt2   |
| Gee Bee                          |  Yes  |  Yes  |  Yes  |  Yes  | geebee   |
| Gekirindan                       |  Yes  |  Yes  |  Yes  |  Yes  | gekirido |
| Gemini Wing                      |  Yes  |  Yes  |  Yes  |  Yes  | gemini   |
| Genix Family                     |  Yes  |  Yes  |  Yes  |  Yes  | genix    |
| Genpei ToumaDen                  |  Yes  |  Yes  |  Yes  |  Yes  | genpeitd |
| Ghost Pilots                     |  Yes  |  Yes  |  Yes  |  Yes  | gpilots  |
| Ghostmuncher Galaxian            |  Yes  |  Yes  |  Yes  |  Yes  | gmgalax  |
| Ghosts'n Goblins                 |  Yes  |  Yes  |  Yes  |  Yes  | gng      |
| Ghouls'n Ghosts                  |  Yes  |  Yes  |  Yes  |  Yes  | ghouls   |
| Ghox                             |  Yes  |  Yes  |   No  |  Yes  | ghox     |
| Giga Wing                        |  Yes  |  Yes  |  Yes  |  Yes  | gigawing |
| Gigandes                         |  Yes  |  Yes  |  Yes  |  Yes  | gigandes |
| Gigas                            |  Yes  |  Yes  |  Yes  |   No  | gigasb   |
| Gigas Mark II                    |  Yes  |  Yes  |  Yes  |   No  | gigasm2b |
| Gimme A Break                    |  Yes  |  Yes  |  Yes  |  Yes  | gimeabrk |
| Ginga NinkyouDen                 |  Yes  |  Yes  |  Yes  |  Yes  | ginganin |
| Gionbana                         |  Yes  |  Yes  |  Yes  |  Yes  | gionbana |
| Gladiator                        |  Yes  |  Yes  |  Yes  |   No  | gladiatr |
| Gladiator 1984                   |  Yes  |  Yes  |  Yes  |   No  | sgladiat |
| Glass                            |   No  |  Yes  |  Yes  |  Yes  | glass    |
| Go Go Mr. Yamaguchi / Yuke Yuke Y|  Yes  | Close |  Yes  |  Yes  | yamagchi |
| Go Go! Mile Smile                |  Yes  |  Yes  |Partial|  Yes  | gogomile |
| Goal! Goal! Goal!                |  Yes  |  Yes  |  Yes  |  Yes  | goalx3   |
| Goalie Ghost                     |  Yes  |  Yes  |  Yes  |  Yes  | gghost   |
| Goindol                          | No(1) |  Yes  |  Yes  |  Yes  | goindol  |
| Gokujyou Parodius                |  Yes  |  Yes  |  Yes  |  Yes  | gokuparo |
| Gold Bug                         |  Yes  |  Yes  |Partial|   No  | goldbug  |
| Gold Medalist                    |  Yes  |  Yes  |  Yes  |  Yes  | goldmedl |
| Golden Axe                       |  Yes  |  Yes  |  Yes  |  Yes  | goldnaxe |
| Golden Axe - The Revenge of Death|  Yes  |  Yes  |  Yes  |  Yes  | ga2      |
| Golden Fire II                   |  Yes  |  Yes  |  Yes  |  Yes  | gfire2   |
| Golden Tee Golf                  |  Yes  |  Yes  |  Yes  |  Yes  | gtg      |
| Golden Tee Golf II               |  Yes  |  Yes  |  Yes  |  Yes  | gtg2     |
| Golfing Greats                   |   No  |  Yes  |Partial|  Yes  | glfgreat |
| Golly! Ghost!                    |  Yes  |  Yes  |  Yes  |  Yes  | gollygho |
| Gomoku Narabe Renju              |  Yes  |  Yes  |Partial|  Yes  | gomoku   |
| Gondomania                       |  Yes  |  Yes  |  Yes  |  Yes  | gondo    |
| Gorf                             |  Yes  |  Yes  | Yes(2)|  Yes  | gorf     |
| Got-cha                          |  Yes  |  Yes  |  Yes  |  Yes  | gotcha   |
| Gourmet Battle Quiz Ryohrioh CooK|  Yes  |  Yes  |  Yes  |   No  | ryorioh  |
| Gradius III                      |  Yes  |  Yes  |  Yes  |  Yes  | gradius3 |
| Grand Champion                   |  Yes  |  Yes  |Partial|  Yes  | grchamp  |
| Grand Cross                      |  Yes  |  Yes  |   No  |   No  | gcpinbal |
| Grand Prix Star                  |  Yes  |  Yes  |  Yes  |  Yes  | f1gpstar |
| Grand Striker                    |  Yes  |  Yes  |  Yes  |  Yes  | gstriker |
| Grand Tour                       |  Yes  |  Yes  |  Yes  |  Yes  | grndtour |
| Gratia - Second Earth            |  Yes  |  Yes  |   No  |  Yes  | gratia   |
| Gravitar                         |  Yes  |  Yes  |  Yes  |  Yes  | gravitar |
| Great 1000 Miles Rally           |  Yes  |  Yes  |  Yes  |  Yes  | gtmr     |
| Great Guns                       |  Yes  |  Yes  |  Yes  |  Yes  | greatgun |
| Great Sluggers '94               |  Yes  |  Yes  |   No  |  Yes  | gslgr94u |
| Great Swordsman                  |  Yes  | Close |  Yes  |  Yes  | gsword   |
| Green Beret                      |  Yes  |  Yes  |  Yes  |  Yes  | gberet   |
| Green Beret                      |   No  | Close |   No  |   No  | greenber |
| Grid Seeker: Project Stormhammer |  Yes  |  Yes  |  Yes  |  Yes  | gseeker  |
| Gridiron Fight                   |  Yes  |  Yes  |  Yes  |  Yes  | gridiron |
| Gridlee                          |  Yes  |  Yes  |Part(2)|  Yes  | gridlee  |
| Grobda                           |  Yes  |  Yes  |  Yes  |  Yes  | grobda   |
| Ground Effects / Super Ground Eff|  Yes  |  Yes  |  Yes  |  Yes  | groundfx |
| Growl                            |  Yes  |  Yes  |  Yes  |  Yes  | growl    |
| Grudge Match                     |  Yes  |  Yes  |  Yes  |  Yes  | grudge   |
| Guardian                         | No(1) |  Yes  |  Yes  |   No  | getstar  |
| Guardians / Denjin Makai II      |  Yes  |  Yes  |  Yes  |   No  | grdians  |
| Guerrilla War                    |  Yes  |  Yes  |  Yes  |   No  | gwar     |
| Guided Missile                   |  Yes  |  Yes  |   No  |  Yes  | gmissile |
| Gulf Storm                       |  Yes  |  Yes  |  Yes  |  Yes  | gulfstrm |
| Gulf War II                      |  Yes  |  Yes  |  Yes  |  Yes  | gulfwar2 |
| Gumbo                            |  Yes  |  Yes  |  Yes  |  Yes  | gumbo    |
| Gun & Frontier                   |  Yes  |  Yes  |  Yes  |  Yes  | gunfront |
| Gun Dealer                       |  Yes  |  Yes  |  Yes  |  Yes  | gundealr |
| Gun Dealer '94                   |  Yes  |  Yes  |  Yes  |  Yes  | gundl94  |
| Gun Fight                        |  Yes  |  Yes  |   No  |  Yes  | gunfight |
| Gun.Smoke                        |  Yes  |  Yes  |  Yes  |  Yes  | gunsmoke |
| GunNail                          |  Yes  |  Yes  |   No  |  Yes  | gunnail  |
| Gunbird                          |  Yes  |  Yes  |  Yes  |  Yes  | gunbird  |
| Gunbird 2                        |  Yes  |  Yes  |  Yes  |  Yes  | gunbird2 |
| Gunbuster                        |  Yes  |  Yes  |  Yes  |  Yes  | gunbustr |
| Gundhara                         |  Yes  |  Yes  |  Yes  |  Yes  | gundhara |
| Gunforce - Battle Fire Engulfed T|  Yes  |  Yes  |  Yes  |  Yes  | gunforce |
| Gunforce 2                       |  Yes  |  Yes  |  Yes  |  Yes  | gunforc2 |
| Gunlock                          |  Yes  |  Yes  |  Yes  |  Yes  | gunlock  |
| Gururin                          |  Yes  |  Yes  |  Yes  |  Yes  | gururin  |
| Guts'n                           |  Yes  |  Yes  |  Yes  |  Yes  | gutsn    |
| Guwange                          |  Yes  |  Yes  |  Yes  |  Yes  | guwange  |
| Guzzler                          |  Yes  |  Yes  |  Yes  |  Yes  | guzzler  |
| Gyakuten!! Puzzle Bancho         |  Yes  |  Yes  |  Yes  |  Yes  | pbancho  |
| Gypsy Juggler                    |  Yes  |  Yes  |  Yes  |  Yes  | gypsyjug |
| Gyrodine                         |  Yes  |  Yes  |  Yes  |  Yes  | gyrodine |
| Gyruss                           |  Yes  |  Yes  |  Yes  |  Yes  | gyruss   |
| HAL21                            |  Yes  | Close |  Yes  |   No  | hal21    |
| Hachoo!                          |  Yes  |  Yes  |Partial|  Yes  | hachoo   |
| Halley's Comet                   |  Yes  |  Yes  |  Yes  |   No  | halleys  |
| Hammerin' Harry                  |  Yes  |  Yes  |  Yes  |   No  | hharry   |
| Hana Awase                       |  Yes  |  Yes  |  Yes  |  Yes  | hanaawas |
| Hana Yayoi                       |  Yes  |  Yes  |  Yes  |  Yes  | hnayayoi |
| Hana no Mai                      |  Yes  |  Yes  |  Yes  |  Yes  | hanamai  |
| Hana to Ojisan [BET]             |  Yes  |  Yes  |  Yes  |  Yes  | hanaoji  |
| Hanagumi Taisen Columns - Sakura |  Yes  |  Yes  |   No  |  Yes  | hanagumi |
| Hanaroku                         |  Yes  | Close |  Yes  |   No  | hanaroku |
| Hand, The                        |  Yes  |  Yes  | Yes(2)|  Yes  | thehand  |
| Hang-On                          |  Yes  |  Yes  |  Yes  |  Yes  | hangon   |
| Hang-On Jr.                      |  Yes  |  Yes  |  Yes  |  Yes  | hangonjr |
| Hard Drivin'                     |  Yes  |  Yes  |  Yes  |  Yes  | harddriv |
| Hard Drivin's Airborne           |  Yes  |  Yes  |   No  |  Yes  | hdrivair |
| Hard Dunk                        |  Yes  |  Yes  |  Yes  |  Yes  | harddunk |
| Hard Hat                         |  Yes  |  Yes  |  Yes  |  Yes  | hardhat  |
| Hard Head                        |  Yes  |  Yes  |Partial|  Yes  | hardhead |
| Hard Yardage                     |  Yes  |  Yes  |  Yes  |  Yes  | hardyard |
| Hasamu                           |  Yes  |  Yes  |  Yes  |   No  | hasamu   |
| Hat Trick                        |  Yes  |  Yes  |  Yes  |  Yes  | hattrick |
| Hatris                           |  Yes  |  Yes  |  Yes  |  Yes  | hatris   |
| Haunted Castle                   |  Yes  |  Yes  |  Yes  |  Yes  | hcastle  |
| Hayaoshi Quiz Ouza Ketteisen     |  Yes  |  Yes  |   No  |  Yes  | hayaosi1 |
| Head On                          |  Yes  |  Yes  |   No  |  Yes  | headon   |
| Head On 2                        |  Yes  |  Yes  |   No  |  Yes  | headon2  |
| Head Panic                       |  Yes  |  Yes  |  Yes  |  Yes  | hedpanic |
| Heart Attack                     |  Yes  |  Yes  |Partial|   No  | heartatk |
| Heavy Barrel                     |  Yes  |  Yes  |  Yes  |  Yes  | hbarrel  |
| Heavy Metal                      |  Yes  |  Yes  |  Yes  |  Yes  | hvymetal |
| Heavyweight Champ                |  Yes  |  Yes  |  Yes  |  Yes  | hwchamp  |
| Hebereke no Popoon               |  Yes  |  Yes  |  Yes  |  Yes  | heberpop |
| Heiankyo Alien                   |  Yes  |  Yes  |   No  |  Yes  | heiankyo |
| HeliFire                         |  Yes  |  Yes  |   No  |  Yes  | helifire |
| Hellfire                         |  Yes  |  Yes  |  Yes  |  Yes  | hellfire |
| Hero                             |  Yes  |  Yes  |Partial|   No  | hero     |
| Hexa                             |  Yes  |  Yes  |  Yes  |  Yes  | hexa     |
| Hexion                           |  Yes  |  Yes  |  Yes  |  Yes  | hexion   |
| High Impact Football             |  Yes  |  Yes  |  Yes  |  Yes  | hiimpact |
| High Voltage                     |   No  |  Yes  |  Yes  |  Yes  | hvoltage |
| High Way Race                    |  Yes  |  Yes  |  Yes  |  Yes  | hwrace   |
| Hippodrome                       |  Yes  |  Yes  |  Yes  |  Yes  | hippodrm |
| History of Martial Arts, The     |  Yes  |  Yes  |   No  |  Yes  | histryma |
| Hit 'n Miss                      |  Yes  |  Yes  |  Yes  |  Yes  | hitnmiss |
| Hit Me                           |  Yes  |  Yes  |   No  |  Yes  | hitme    |
| Hit the Ice                      |  Yes  |  Yes  |  Yes  |  Yes  | hitice   |
| Hoccer                           |  Yes  |  Yes  |  Yes  |  Yes  | hoccer   |
| Hole Land                        |  Yes  |  Yes  |  Yes  |  Yes  | holeland |
| Holosseum                        |  Yes  |  Yes  |  Yes  |  Yes  | holo     |
| Hook                             |  Yes  |  Yes  |  Yes  |  Yes  | hook     |
| Hopper Robo                      |  Yes  |  Yes  |  Yes  |  Yes  | hopprobo |
| Hopping Mappy                    |  Yes  |  Yes  |  Yes  |  Yes  | hopmappy |
| Horizon                          |  Yes  |  Yes  |Partial|  Yes  | horizon  |
| Hot Chase                        |  Yes  |  Yes  |  Yes  |  Yes  | hotchase |
| Hot Pinball                      |  Yes  |  Yes  |  Yes  |   No  | hotpinbl |
| Hot Shocker                      |  Yes  |  Yes  |  Yes  |  Yes  | hotshock |
| Hot Shots Tennis                 |  Yes  |  Yes  |  Yes  |  Yes  | hstennis |
| Hotdog Storm                     |  Yes  |  Yes  |  Yes  |  Yes  | hotdogst |
| House Mannequin                  |  Yes  |  Yes  |  Yes  |  Yes  | housemnq |
| House Mannequin Roppongi Live hen|  Yes  |  Yes  |  Yes  |  Yes  | housemn2 |
| Hunchback                        |  Yes  |  Yes  |Partial|   No  | hunchbak |
| Hunchback Olympic                |  Yes  |  Yes  |Partial|   No  | huncholy |
| Hustle                           |  Yes  |  Yes  |Part(2)|  Yes  | hustle   |
| Hustler, The                     |  Yes  |  Yes  |  Yes  |   No  | thehustl |
| Hydra                            |  Yes  |  Yes  |  Yes  |  Yes  | hydra    |
| Hyper Duel                       | No(1) |  Yes  |  Yes  |  Yes  | hyprduel |
| Hyper Pacman                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperpac |
| Hyper Sports                     |  Yes  |  Yes  |  Yes  |  Yes  | hyperspt |
| I'm Sorry                        |  Yes  |  Yes  |  Yes  |  Yes  | imsorry  |
| I, Robot                         |  Yes  |  Yes  |  Yes  |  Yes  | irobot   |
| IGMO                             |  Yes  |   No  |  Yes  |  Yes  | igmo     |
| IPM Invader                      |  Yes  | Close |   No  |   No  | ipminvad |
| IQ-Block                         |  Yes  |  Yes  |  Yes  |  Yes  | iqblock  |
| Ichidant-R                       |  Yes  |  Yes  |  Yes  |  Yes  | ichidant |
| Idol Janshi Su-Chi-Pie 2         |  Yes  |  Yes  |   No  |  Yes  | 47pie2   |
| Idol no Himitsu [BET]            |  Yes  |  Yes  |  Yes  |  Yes  | idhimitu |
| Idol-Mahjong Final Romance       |  Yes  |  Yes  |  Yes  |  Yes  | fromance |
| Idol-Mahjong Housoukyoku         |  Yes  |  Yes  |  Yes  |  Yes  | idolmj   |
| Iemoto                           |  Yes  |  Yes  |  Yes  |  Yes  | iemoto   |
| Iga Ninjyutsuden                 |  Yes  |  Yes  |  Yes  |  Yes  | iganinju |
| Ikari III - The Rescue           |  Yes  |  Yes  |  Yes  |  Yes  | ikari3   |
| Ikari Warriors                   |  Yes  |  Yes  |  Yes  |   No  | ikari    |
| Ikki                             |  Yes  |  Yes  |  Yes  |  Yes  | ikki     |
| Image Fight                      |  Yes  |  Yes  |  Yes  |   No  | imgfight |
| Imago                            |  Yes  |   No  |  Yes  |  Yes  | imago    |
| Imekura Mahjong                  |  Yes  |  Yes  |  Yes  |  Yes  | imekura  |
| In The Hunt                      |  Yes  |  Yes  |  Yes  |  Yes  | inthunt  |
| Indiana Jones and the Temple of D|  Yes  |  Yes  |  Yes  |  Yes  | indytemp |
| Indoor Soccer                    |  Yes  |  Yes  |Partial|  Yes  | idsoccer |
| Inferno                          |  Yes  |  Yes  |Partial|  Yes  | inferno  |
| Inferno                          |  Yes  |  Yes  |   No  |  Yes  | minferno |
| Insector                         |  Yes  |  Yes  |   No  |  Yes  | insector |
| Insector X                       |  Yes  |  Yes  |  Yes  |  Yes  | insectx  |
| Intrepid                         |  Yes  |  Yes  |  Yes  |  Yes  | intrepid |
| Invader's Revenge                |  Yes  |  Yes  |   No  |  Yes  | invrvnge |
| Invinco                          |  Yes  |  Yes  | Yes(2)|  Yes  | invinco  |
| Invinco / Deep Scan              |  Yes  |  Yes  |Part(2)|  Yes  | invds    |
| Invinco / Head On 2              |  Yes  |  Yes  |Part(2)|  Yes  | invho2   |
| Iron Horse                       |  Yes  |  Yes  |  Yes  |  Yes  | ironhors |
| Ironman Stewart's Super Off-Road |  Yes  |  Yes  |  Yes  |  Yes  | offroad  |
| Ironman Stewart's Super Off-Road |  Yes  |  Yes  |  Yes  |  Yes  | offroadt |
| Irritating Maze / Ultra Denryu Ir|  Yes  |  Yes  |  Yes  |  Yes  | irrmaze  |
| Ixion                            |  Yes  |  Yes  |   No  |  Yes  | ixion    |
| J-League Soccer V-Shoot          |  Yes  |  Yes  |   No  |  Yes  | vshoot   |
| J. J. Squawkers                  |  Yes  |  Yes  |  Yes  |  Yes  | jjsquawk |
| Jack Rabbit                      |  Yes  |  Yes  |Partial|  Yes  | jackrabt |
| Jack the Giantkiller             |  Yes  |  Yes  |  Yes  |  Yes  | jack     |
| Jackal                           |  Yes  | Close |  Yes  |   No  | jackal   |
| Jail Break                       |  Yes  |  Yes  |  Yes  |  Yes  | jailbrek |
| Jan Jan Paradise                 |  Yes  |  Yes  |  Yes  |  Yes  | jjparads |
| Jan Jan Paradise 2               |  Yes  |  Yes  |  Yes  |  Yes  | jjparad2 |
| Jitsuryoku!! Pro Yakyuu          |  Yes  |  Yes  |  Yes  |  Yes  | jitsupro |
| John Elway's Team Quarterback    |  Yes  |  Yes  |  Yes  |  Yes  | teamqb   |
| Journey                          |  Yes  |  Yes  |Partial|  Yes  | journey  |
| Joust                            |  Yes  |  Yes  |  Yes  |  Yes  | joust    |
| Joust 2 - Survival of the Fittest|  Yes  |  Yes  |  Yes  |  Yes  | joust2   |
| Joyful Road                      |  Yes  |  Yes  |Partial|   No  | joyfulr  |
| Jr. Pac-Man                      |  Yes  |  Yes  |  Yes  |  Yes  | jrpacman |
| Judge Dredd                      |  Yes  |  Yes  |  Yes  |  Yes  | jdredd   |
| Jump Bug                         |  Yes  |  Yes  |  Yes  |  Yes  | jumpbug  |
| Jump Coaster                     |  Yes  |  Yes  |  Yes  |  Yes  | jumpcoas |
| Jump Kids                        |  Yes  |  Yes  |   No  |  Yes  | jumpkids |
| Jump Shot                        |  Yes  |  Yes  |  Yes  |  Yes  | jumpshot |
| Jumping Jack                     |  Yes  |  Yes  |  Yes  |  Yes  | jjack    |
| Jungle King                      |  Yes  |  Yes  |  Yes  |  Yes  | junglek  |
| Jungler                          |  Yes  |  Yes  |  Yes  |  Yes  | jungler  |
| Juno First                       |  Yes  |  Yes  |  Yes  |  Yes  | junofrst |
| Jurassic Park                    |  Yes  |  Yes  |  Yes  |  Yes  | jpark    |
| Jyanshin Densetsu - Quest of Jong|  Yes  |  Yes  |  Yes  |  Yes  | janshin  |
| Kageki                           |  Yes  |  Yes  |  Yes  |  Yes  | kageki   |
| Kaiser Knuckle                   |  Yes  |  Yes  |  Yes  |  Yes  | kaiserkn |
| Kaitei Takara Sagashi            |  Yes  |  Yes  |  Yes  |  Yes  | kaitei   |
| Kamikaze Cabbie                  |  Yes  |  Yes  |  Yes  |  Yes  | kamikcab |
| Kanatsuen no Onna [BET]          |  Yes  |  Yes  |  Yes  |  Yes  | kanatuen |
| Kangaroo                         |  Yes  |  Yes  |  Yes  |  Yes  | kangaroo |
| Kaos                             |  Yes  |  Yes  |  Yes  |  Yes  | kaos     |
| Karate Blazers                   |  Yes  |  Yes  |  Yes  |   No  | karatblz |
| Karate Champ                     |  Yes  |  Yes  |  Yes  |  Yes  | kchamp   |
| Karate Tournament, The           |  Yes  |  Yes  |   No  |  Yes  | karatour |
| Karian Cross                     |  Yes  |  Yes  |  Yes  |  Yes  | karianx  |
| Karnov                           |  Yes  |  Yes  |  Yes  |  Yes  | karnov   |
| Karnov's Revenge / Fighter's Hist|  Yes  |  Yes  |  Yes  |  Yes  | karnovr  |
| Ken-Go                           |  Yes  |  Yes  |  Yes  |   No  | kengo    |
| KiKi KaiKai                      |  Yes  |  Yes  |  Yes  |  Yes  | kikikai  |
